,,Inverter 1 Total output power (kW),Inverter 2 Total output power (kW),GHI (W/m2),irradiance sensor1 (W/m2),irradiance sensor2 (W/m2),irradiance sensor3 (W/m2),irradiance sensor4 (W/m2)
2024,9,2246.46475,1462.9144166666667,0.0,0.0,0.0,0.0,0.0
2024,10,1930.2657499999998,1206.6720833333334,0.0,0.0,0.0,0.0,0.0
2024,11,568.0530833333332,362.92699999999996,0.0,0.0,0.0,0.0,0.0
2024,12,256.6535,162.37366666666665,0.0,0.0,0.0,0.0,0.0
2025,1,476.7238333333333,359.16516666666666,13343.083333333332,0.0,0.0,0.0,0.0
2025,2,1121.067,900.9995833333334,27192.333333333332,0.0,0.0,0.0,0.0
2025,3,3731.6424166666666,1104.7983333333332,90468.41666666666,0.0,0.0,0.0,0.0
2025,4,5004.6925833333335,1504.3368333333333,122323.0,0.0,0.0,0.0,0.0
2025,5,6911.573083333333,6332.18125,181198.5833333333,0.0,0.0,0.0,0.0
2025,6,6717.473416666666,6245.338083333333,175488.0833333333,0.0,0.0,0.0,0.0
2025,7,6154.494583333333,5814.327249999999,159063.3333333333,0.3333333333333333,0.0,0.0,0.0
2025,8,5554.403916666666,5136.660333333333,133223.0,93477.75,4847.333333333333,85193.41666666666,2075.75
2025,9,3886.915333333333,3633.307083333333,49428.416666666664,94563.91666666666,1421.1666666666665,83050.33333333333,111.5
2025,10,1704.3274999999999,1589.4229166666667,0.0,41398.666666666664,496.25,35241.25,88.75
